idx,table_truncated,reference,pred_1 (deterministic),pred_1_faithfulness (0-5),pred_2 (sampled),pred_2_faithfulness (0-5),pred_3 (sampled),pred_3_faithfulness (0-5),notes
0,"# : 76 | Took Office : Daniel Henry Chamberlain | Left Office : December 1, 1874...",Daniel Henry Chamberlain was the 76th Governor of South Carolina from 1874.,"Daniel 6lain, the head of of the British Army,, was the commander of 76, the rank of the Army, in 1874, and left office office December  1,1874. On 11 December 1, 1874, Daniel 6lain was appointed to the rank of the76, the rank of the Army, and the head of the Army. In 1875, Daniel 6lain became the head of the U.S...",,"The Chamberlain family, which included the 76th Daniel Henry wholain took office on December 1 11 11874, left left office on December 11 11 18874, or 11 11 18874, or 11 11 18874. 16 Henry Chamberlainlain left office on December 11 11 18874, or 11 11 18874.",,"Daniel Henry 76 was the  of of the of the of, who left office on December 1, 1874, as the  of of the of of the of of the of the of the of the of of the of of the of the of the of the the of the of the the of the of the the of the the of the the the the of the the of the the the the the the the the the the the the the the the the the the the the the the the the the.",,
1,Year : 2016 | Title : Kids in Love | Role : Evelyn...,Alma Jodorowsky had the role of Evelyn in 2016 film Kids in Love.,"Eynyn Lovejoy a role role in the in in Love film22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22,22",,"Evelyn Love is a role in the film ""Kids in Love,"" which was released in 2016, starring the characters of, and,, and, and,, and,, and,,,, and, and, and, and, and,, and,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,Theynyn Lovejoy theynyn theynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynynyn,,
2,TOTAL : 119...,"In his rookie season, Hawk led with 119 total tackles.","The total score 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, scored.",,"The sequence of the numbers 0, 0,1,1,2,2,2, 3, 3, 4, 5, 5, 6, 6, 7, 7, 8, 9, 9, 9, 10, 10, 11, 11, 12, 12, 13, 13, 13, 14, 14, 15, 15, totals 19.",,"The total number of primes numbers the numbers 1, 2, 3, 4, 6, 8, 9, 100, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 29, 31, 37, 41, 43, 47, 53, 53, 69.",,
3,Name : Peter II the Simple (Pêr II) 1450–1457 | Name : Arthur III the Justicier (Arzhur III) 1457–1458 | Death : 26 December 1458 Nantes aged 65...,"At the very end of his life, Arthur III became duke of Brittany, succeeding Peter II.","Peter II the the Simple (Pêr II) was a  of the House of II, 1450–1457, and was the of the House of of III, 1457–1458, and Arthur III the the Justicier (Arzhur III) was the of the House of III, 1457–1458, and died 26 December 1458 Nantes of 65.",,"Peter II the the Simple (Pêr II) was a king of Portugal 1450–1457, while Arthur III the Justicier (Arzhur III) was a king of Spain 1457–1458. Peter II II II II passed away on December 24, 1458, at the age of 63, and Arthur Arzhic III passed away on December 2, 1458 in Nantes at the age of 65.",,"Arthur II II the Justicier (Arzhur III) 1457–1148 (also known as III 1457–1458) was born on the day 1 II1457, like Peterr II (Pêr II) 1450–1457, who was born on the day 1 II1450. He was at at 5 65 and passed away on 26 December 1468..",,
4,Speaker : Ralph J. Parker...,Ralph J. Parker was a Minnesota politician and a Speaker of the Minnesota House of Representatives.,"Ralph J. Parker was a prominent figure in the United of America, the United States the, and the United Kingdom, and the the United of the the United, the the United, the United, the United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United United.",,"Ralph J. Parker is the Vice Speaker of the House of the United States, serving as from the 11th Amendment 11th to  11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment 11st to 11th Amendment.",,"Ralph J. Parker was a prominent figure in the United of America, including the United of the United,, United Kingdom, the United States United States, United Kingdom, United United Kingdom United Kingdom, United United Kingdom United Kingdom, United United Kingdom United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom, United United Kingdom United United United.",,
5,Year : 2016 | Host City : Da Nang | Host Nation : Vietnam | Start Date : 24 September | End Date : 3 October | Year : 2020 | Host City : Sanya | Host Nation : China...,"The last Asian Beach Games was held in Danang, Vietnam from 24 September to 3 October 2016, while the next will be held in 2020 in Sanya, China, the first to breakaway from the 2-year cycle.","The 2016-2020 Vietnam2020 World Music Festival, held in Da Nang in Da, Vietnam, began on September 24th, 2016, and 3th in 2010, with the 2020 World Music Festival, held in Sanya, China, running on April 10th, 2008, to October 10th, 200...",,"The 2016 Vietnam Festival (Knam' Festivalung 101) was held in Da Nang, Vietnam, starting on September 24th, 2016 and on October 3rd. In 2020, the 2018 Vietnam Festival (Knam' Festivalung 101) was held in Sanya, China, starting on October 1th, 2020 and ending October 3rd.",,"In 2001, the V Film and Film Festival was held in Da Nang,, Vietnam, on September 24th to October 3rd,  the same year, in 2016, and in 2020, the same year was held in Sanya, China, on  20th to October 1st.  The 2016 V Film and Film Festival took place on  1 September 20th, 2016.
.",,
6,Year : 2012 | Title : Person of Interest | Role : Alistair Wesley | Notes : Episode: Critical...,"In 2012, Julian Sands played as Alistair Wesley in the episode of the Person of Interest.","The 122nd episode of the show of 2012, "" of of Interest,"" featured Alistairair Wesley played the role of the Sir,,,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person,,Person,Person, Person.",,"A 222nd episode is, and, and, and, and,,, and, and,, and,,, and,,, and, and,, and,, and,, and, and,,, and,, and,, and,,, and, and and, and, and, and, and and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and.",,"The 2021 episode of the Person of the Week series, Alistair Wesley, the role of the show person, is a critical episode. The Person of the Week series, which aired in one of the seasons 2012, 2013, and 2014, features a series of interviews and interviews with all the members of of the week. the person of interest that the series has appeared in in the seasons 2021, 2012, 2012.",,
7,Year : 2005 | Title : Coach Carter | Role : Dominique...,"In 2005, Adrienne Bailon starred in Coach Carter as Dominique.","In 220,,,000,0,,0,000,,,0,000,,00,000,,,0,000,,00,000,,00,000,,00,000,,00,000,,00,000,,00,000,000 episodes, Coach Carter played the role role in the TV show Coach.C..
.",,"In  2005, the Carter Carter's role as Dominique was portrayed in a movie titled titled ""The Coach of the Show"" (The, Coach,,of,ofthe,of,of,of,of,,the,of,,the,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of,of Show).",,"Coach Carter 2005 is a role in the television series Comedy, Drama, Drama, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV, TV.",,
8,Name : John L. Estrada...,John Learie Estrada is the United States Ambassador to Trinidad and Tobago.,"John L. Estrada is a British actor who for for the role in the film ""The James, which"" was released in 1997. He born on 1, 1, 1940, and died on 1, 1, 1997. He was a for the actor of the film ""The James, which.. He was born on 1, 1, 1940, and died on 1, 1, 1997..
.",,"John L. Estrada was a Mexican American actor, director,, and,,, and,,, and,,, and,,, and,,, and,,, and,,, and,,, and, ,, and,,, and,,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,, and, ,",,"John L. Estrada was a retired American lawyer, actor,, director, and, later, attorney,,, actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, director, and lawyer.",,
9,GP : 32 | RPG : 4.8 | APG : 2.3 | PPG : 23.5...,"Trey Johnson averaged 23.5 points, 4.8 rebounds, and 2.3 assists in 32 games.","The table provides the Gameplay, Name, Age, GP,, RPG,, AP,, and PG, for the game of the series RPG. The table is,, RPG,,, RPG,,, RPG,,, RPG,,, Name,,, Age,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG,,, RPG, ,, RPG,.",,"The statistics for the year of team, released in 2019, were:  32, 2017, 3,  32, 2019, 3,  32, 2019, 3,  32, 2019, 3,  32, 2019, 3,  32, 2019, 3,  32, 2019, 3.",,"The  ,,,PG,,,,,PG,,PG,,,,,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,,,,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,,,PG,",,
