idx,table,reference,pred_1 (deterministic),pred_2 (sampled),pred_3 (sampled)
0,"# : 76 | Took Office : Daniel Henry Chamberlain | Left Office : December 1, 1874",Daniel Henry Chamberlain was the 76th Governor of South Carolina from 1874.,"Daniel  76, a former Chamberlain, served as the Secretary of the House of of Commons in 1874, until his left office on December 1, 1874. The Chamberlain was known for his role in managing the House of the Commons, the largest legislative body of the United States
.","#  76, the predecessor of Daniel Henry Chamberlain, took his office on December 1, 1874, serving as the Secretary of the House of the Chamberlain House, and. Chamberlain, however, on, 15th, 1874, resigned from his position, resign to the position of the Secretary of the House of the Chamberlain House and and subsequently to the Secretary of the House of  the Chamberlain House..","Daniel 7676, the Earl of of Chamberlain, was appointed as Prime Lord on December 1774,  his term ended on December 16th, 1874. He was appointed as the Prime Lord on December 1774, and his term ended on December 16th, 1874."
1,Year : 2016 | Title : Kids in Love | Role : Evelyn,Alma Jodorowsky had the role of Evelyn in 2016 film Kids in Love.,"In "" 2 Love Love"" (2204), the isabella plays the role of the young girl,, love, and, love,,,, love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, love,, love, and, love,","In the ""2 in Love"" film, 201, 2016, played the role of Evelyn, a young girl who is,,, and, and,, and,,, and,, and,, and,, and,,, and, and,, and,, and,, and, and, and,, and, and, and and, and, and, and, and, and, and, and, and, and, and, and, and, and.","Inevil2 Kids in Love is a 20, 2012 film film directed by and,, and, and, starring by, and, and, and, and, and, and, and, and, and, and,,, and, and,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and."
2,TOTAL : 119,"In his rookie season, Hawk led with 119 total tackles.","The table shows the 1919 British Census, which the total population was 119,00 men, boys, children, children, and women. The breakdown of the categories was: 1, 2, 3, 4, 5, and women, with 11,,000 men and 11,,000 boys, respectively,
.",The table contains 19 19 19 1919 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19.,"The table contains 119 numbers, which are: 1, 1, 2, 3, 4, 4, 5, 5, 6, 7, 8, 9, 10, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112."
3,Name : Peter II the Simple (Pêr II) 1450–1457 | Name : Arthur III the Justicier (Arzhur III) 1457–1458 | Death : 26 December 1458 Nantes aged 65,"At the very end of his life, Arthur III became duke of Brittany, succeeding Peter II.","Peter II the the Simple, Pêr II, 1450–1457, a the son of the the Justicier, Ar14icier,  Ar14icier, and the son of the Justicier, 14icier,  Ar14icier,  Ar14icier,  Ar14icier, died on 26 December 1458 at Nantes aged 65.","The II the the Simple, Peter IIr, lived 1450-1457 and was Arthur II II the Justic II II II the Justicier, Arzhur III, who 1457-1458 II II II II Justic II Justicier, Nantur, died on 26 December 1458, aged 65.","Peter II, the Simple, also known as Peter the Pêrier (Pêr II) 1450–1457, was a member of Cast Spain who ruled the city of England from 1450 to 1457. Arthur III, the Justicier, also known as Arthur the Arzhurier (Arzhur III) 1457–1458, passed away on 26 December 1458 at 65."
4,Speaker : Ralph J. Parker,Ralph J. Parker was a Minnesota politician and a Speaker of the Minnesota House of Representatives.,"Ralph J. Parker is a renowned actor,,, and,,, comedian,,,, actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, comedian, comedian, .","Ralph J. Parker is a renowned actor, author, and author, known for his work, ""The Life of"" (1190s), which is the first film of the Life of the Rings. Parker is also known for his books, including, and the, ""The ""The of the Rings"" (1990s and ""The ""The of the Rings"" (1990s), which are the books of the 1940 series.","Ralph J. Parker is a renowned actor, author, and author, known for his debut book "" ""The Secret of Paradise"" (in 1947), which is a classic novel in the genre.. Parker is also for for his acting television, stage show, and television, including the series "" ""The Devil"""" (in 1957), which is a popular American television series. Parker is also a professional actor, comedian, actress, actor,, producer, and screen writer."
5,Year : 2016 | Host City : Da Nang | Host Nation : Vietnam | Start Date : 24 September | End Date : 3 October | Year : 2020 | Host City : Sanya | Host Nation : China,"The last Asian Beach Games was held in Danang, Vietnam from 24 September to 3 October 2016, while the next will be held in 2020 in Sanya, China, the first to breakaway from the 2-year cycle.","The 2016 event, held in Da Nangang, Vietnam, began on  24th September  2016 and concluded 33th October  2016. The 2020 event, held in Sanya, China, started on  24th September  2020 and ended 33th October  2020. Both events took place in host countries Vietnam and host respectively...","The 2016 Film Festival, held in Da Nang, Vietnam, began on September 24th, 2016, and concluded on October 3rd, The 2020 Film Festival, held in S Sanya, China, took on on 24th, 2020, and ended on October 3rd. Both festivals showcase a diverse range of films, artists,, and cultural from across host host, and respective countries.","The 2016 event, hosted in Da Nang, Vietnam, took place  24 September  of 2016, and it concluded on 3 October  2016. The 2020 event, hosted in Sanya, China, took place on 24 September  2020, and it concluded on 3 October  2020. Both events were held in their respective host dates and their respective host countries.."
6,Year : 2012 | Title : Person of Interest | Role : Alistair Wesley | Notes : Episode: Critical,"In 2012, Julian Sands played as Alistair Wesley in the episode of the Person of Interest.","The 22nd episode episode of the TV series ""Person of Interest"" (20 12) featured the role by Alistair Wesley, a prominent actor who played a character the the characters of the series, the, the, and,,, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the.","In 2202 TV television series ""Person of of Interest,"" Alistair Wesley plays the role of Person of Interest, a charismatic and intelligent character who is revealed to be a successfullist. Thelist is is involved in various activities, including, business,, and political affairs, and he aunts to,, ,,,,,,,,,,,,,,,,,,,,,,, and, people,,,,, the, and, U..S..","The  2012 episode of ""Person of Interest"" features Alistairair Wesley, a character cast by Chris Deion,, who the series is known for its complex and and intriguing characters. The episode, featuring a gripping, dramatic storyline, and ensemble, focuses on the complexities of personal relationships and the challenges of navigating the U.S.. It was noted to highly critical, making it it as one of the most critical episodes in the series."
7,Year : 2005 | Title : Coach Carter | Role : Dominique,"In 2005, Adrienne Bailon starred in Coach Carter as Dominique.","In 2205, the Coach Carter Carter, the head of the the School,, was the youngest the coach of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School, and the youngest of the coaches of the the School.","In 2206, Coach Coach Carter Carter assumed the role of the the coach of of the professional basketball team, a the professional team of the United States, of the  of the Carolina, assumed the role of the coach of the the professional team of the United States, of the United States, of the United States, of the United States, of the United States, of the United States, of the United States, of the United States, of the United States, of the United States.","In 2200,, Coach Carter, the creator of the game,,,, played the role of Coach 2005,, in the context of the game,, ,, as a Domin figure, so, Coach 2005,,,, was the creator of the game.
.."
8,Name : John L. Estrada,John Learie Estrada is the United States Ambassador to Trinidad and Tobago.,"John L. Estrada is a retired American soldier,, author, writer, poet, writer, and, editor,,, author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, author,,, poet,, editor, and, author.","John L. Estrada ( a retired American actor), born on on January 22, 15, 1960, and passed away on 1, 10, 29th December, 1978. He was an for the role show ""The Man of"" and for the 10,11 season of ""Death of the Year."" He died on 1, 1, 29th December, 1978.","John L. Estrada ( a retired attorney,),, ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,0,,,,0,,,,0,,,0,,0,0."
9,GP : 32 | RPG : 4.8 | APG : 2.3 | PPG : 23.5,"Trey Johnson averaged 23.5 points, 4.8 rebounds, and 2.3 assists in 32 games.","The table provided a summary of the player's game-game player,, RPG,, average AP,, and player,,PGPG, respectively. The player has 32 game-game players,, with a4 of 4. RPG,, RPGs, an average AP of of 2.3, and a PPGPG of of 23.5, , PPGs.","The table provided the scores for various performance metrics (GP, RPG,, APG, and PPG) for a football player. The GP (Greatest Poss Rating, Possession, and Passing) was 32, indicating indicates their possession, and the RPG (44.8) indicates their passing rate. The APG (23.3) represents their average percentage of the game rate, while PPG (23.5) indicates their average pass completion rate..","The table provided a summary of the game, RPG, player,, average, average, and PPG ( for the game)) of a player.. The player a total GP (for a game) of 3.2, and the average RPG (RPG) score of 4.8. The average APG (APG) score was 2.3, and the PPG (PGPG) score is 23.5."
